	Measurement	Number	Measurement	type	
	30	DC	IV		
					
	Measurement	ID	SeriesID		
	740075.657240	0			
					
	MeasureMode	Bias1	Bias2		
	2	-4	4		
					
	Step	Positive	compliance	Negative	compliance
	0.02	0.1	0.1		
					
	RealMeasuredPoints				
	804				
					
Bias	Current	Resistance			
0.0000e+00	-1.6333e-09	-0.0000e+00			
-2.0000e-02	-4.3937e-08	4.5520e+05			
-4.0000e-02	-8.6705e-08	4.6133e+05			
-6.0000e-02	-1.3083e-07	4.5862e+05			
-8.0000e-02	-1.7753e-07	4.5063e+05			
-1.0000e-01	-2.2856e-07	4.3751e+05			
-1.2000e-01	-2.8410e-07	4.2239e+05			
-1.4000e-01	-3.4504e-07	4.0575e+05			
-1.6000e-01	-4.1129e-07	3.8902e+05			
-1.8000e-01	-4.8323e-07	3.7249e+05			
-2.0000e-01	-5.5865e-07	3.5801e+05			
-2.2000e-01	-6.3724e-07	3.4524e+05			
-2.4000e-01	-7.1779e-07	3.3436e+05			
-2.6000e-01	-7.9945e-07	3.2522e+05			
-2.8000e-01	-8.8258e-07	3.1725e+05			
-3.0000e-01	-9.6463e-07	3.1100e+05			
-3.2000e-01	-1.0462e-06	3.0587e+05			
-3.4000e-01	-1.1265e-06	3.0182e+05			
-3.6000e-01	-1.2098e-06	2.9756e+05			
-3.8000e-01	-1.2802e-06	2.9682e+05			
-4.0000e-01	-1.3520e-06	2.9585e+05			
-4.2000e-01	-1.4219e-06	2.9538e+05			
-4.4000e-01	-1.4882e-06	2.9566e+05			
-4.6000e-01	-1.5530e-06	2.9620e+05			
-4.8000e-01	-1.6151e-06	2.9720e+05			
-5.0000e-01	-1.6751e-06	2.9849e+05			
-5.2000e-01	-1.7338e-06	2.9992e+05			
-5.4000e-01	-1.7900e-06	3.0168e+05			
-5.6000e-01	-1.8441e-06	3.0366e+05			
-5.8000e-01	-1.8967e-06	3.0580e+05			
-6.0000e-01	-1.9471e-06	3.0815e+05			
-6.2000e-01	-1.9953e-06	3.1073e+05			
-6.4000e-01	-2.0416e-06	3.1348e+05			
-6.6000e-01	-2.0880e-06	3.1609e+05			
-6.8000e-01	-2.1355e-06	3.1843e+05			
-7.0000e-01	-2.1810e-06	3.2095e+05			
-7.2000e-01	-2.2247e-06	3.2364e+05			
-7.4000e-01	-2.2657e-06	3.2660e+05			
-7.6000e-01	-2.3056e-06	3.2963e+05			
-7.8000e-01	-2.3451e-06	3.3260e+05			
-8.0000e-01	-2.3822e-06	3.3583e+05			
-8.2000e-01	-2.4176e-06	3.3918e+05			
-8.4000e-01	-2.4521e-06	3.4257e+05			
-8.6000e-01	-2.4875e-06	3.4573e+05			
-8.8000e-01	-2.5224e-06	3.4887e+05			
-9.0000e-01	-2.5566e-06	3.5202e+05			
-9.2000e-01	-2.5895e-06	3.5528e+05			
-9.4000e-01	-2.6208e-06	3.5867e+05			
-9.6000e-01	-2.6483e-06	3.6249e+05			
-9.8000e-01	-2.6720e-06	3.6676e+05			
-1.0000e+00	-2.6931e-06	3.7132e+05			
-1.0200e+00	-2.7138e-06	3.7585e+05			
-1.0400e+00	-2.7326e-06	3.8059e+05			
-1.0600e+00	-2.7506e-06	3.8537e+05			
-1.0800e+00	-2.7698e-06	3.8993e+05			
-1.1000e+00	-2.7887e-06	3.9444e+05			
