t (s),V (mV)
0,6.3558
0.969,6.3419
1.9,6.3273
2.863,6.313
3.826,6.297
4.822,6.279
5.821,6.2617
6.821,6.2443
7.821,6.2276
8.821,6.2099
9.821,6.1922
10.821,6.1753
11.821,6.1572
12.821,6.139
13.821,6.1214
14.821,6.1037
15.821,6.0864
16.822,6.069
17.822,6.0516
18.821,6.0357
19.822,6.0183
20.822,6.0006
21.821,5.983
22.821,5.9662
23.821,5.9487
24.822,5.9316
25.822,5.9143
26.821,5.8979
27.821,5.881
28.821,5.8647
29.822,5.8472
30.821,5.8313
31.821,5.8141
32.821,5.7973
33.821,5.7811
34.821,5.7644
35.821,5.7472
36.821,5.7313
37.822,5.7154
38.821,5.698
39.821,5.682
40.821,5.6673
41.821,5.6514
42.821,5.6351
43.821,5.6193
44.822,5.6032
45.822,5.5873
46.821,5.5731
47.822,5.5572
48.822,5.5418
49.822,5.5265
50.822,5.5105
51.822,5.4957
52.822,5.4807
53.822,5.4657
54.822,5.4507
55.822,5.435
56.822,5.4195
57.821,5.4061
58.821,5.3914
59.821,5.3765
60.821,5.3619
61.821,5.3464
62.821,5.3325
63.822,5.3181
64.822,5.3031
65.821,5.2885
66.821,5.2751
67.821,5.2607
68.822,5.2457
69.821,5.2309
70.822,5.217
71.822,5.203
72.821,5.1885
73.822,5.1744
74.821,5.1605
75.821,5.1462
76.821,5.1326
77.821,5.1196
78.822,5.1051
79.821,5.0912
80.821,5.0777
81.822,5.0627
82.822,5.0494
83.821,5.0351
84.821,5.0215
85.821,5.0083
86.821,4.9931
87.822,4.9797
88.821,4.9654
89.821,4.9517
90.821,4.9376
91.821,4.9235
92.821,4.9101
93.821,4.8965
94.821,4.8831
95.821,4.8696
96.822,4.8568
97.822,4.844
98.821,4.8306
99.821,4.8173
100.821,4.8043
101.821,4.7911
102.821,4.7774
103.821,4.765
104.821,4.7522
105.821,4.7392
106.821,4.7268
107.822,4.7133
108.822,4.701
109.821,4.6881
110.821,4.6752
111.821,4.6626
112.821,4.6496
113.822,4.6376
114.821,4.6246
115.821,4.6117
116.822,4.5996
117.821,4.5873
118.821,4.5743
119.822,4.5624
120.821,4.5498
121.821,4.538
122.822,4.5259
123.821,4.5133
124.821,4.5008
125.822,4.4888
126.821,4.4765
127.822,4.4639
128.821,4.4517
129.821,4.4403
130.821,4.4271
131.821,4.4143
132.821,4.4027
133.821,4.3911
134.821,4.379
135.821,4.3672
136.821,4.3557
137.821,4.3439
138.821,4.3313
139.821,4.319
140.822,4.3075
141.821,4.295
142.821,4.2833
143.821,4.272
144.822,4.2603
145.821,4.2488
146.821,4.2372
147.822,4.2256
148.822,4.2149
149.821,4.2033
150.821,4.1928
151.822,4.1816
152.822,4.1704
153.821,4.1595
154.821,4.1482
155.821,4.1364
156.822,4.1256
157.821,4.116
158.821,4.1044
159.821,4.0926
160.822,4.0823
161.821,4.0705
162.822,4.0595
163.833,4.0476
164.821,4.038
165.821,4.0274
166.821,4.0161
167.821,4.0055
168.822,3.9959
169.821,3.9847
170.822,3.974
171.821,3.9623
172.821,3.9511
173.822,3.9411
174.821,3.93
175.821,3.9193
176.821,3.9084
177.821,3.8982
178.821,3.8887
179.821,3.8783
180.822,3.8677
181.822,3.8589
182.822,3.8483
183.821,3.8395
184.821,3.8293
185.821,3.8189
186.821,3.8091
187.821,3.7989
188.821,3.7896
189.822,3.7787
190.821,3.769
191.821,3.7583
192.821,3.7482
193.821,3.7381
194.821,3.7281
195.821,3.7178
196.821,3.7076
197.821,3.6978
198.821,3.6882
199.821,3.6782
200.821,3.6687
201.822,3.6593
202.822,3.6491
203.822,3.6389
204.822,3.6298
205.821,3.6196
206.821,3.611
207.821,3.6017
208.821,3.5922
209.821,3.5833
210.821,3.5739
211.821,3.5643
212.821,3.5558
213.821,3.5462
214.822,3.5371
215.821,3.5283
216.821,3.5196
217.822,3.5117
218.821,3.5033
219.821,3.493
220.822,3.4847
221.821,3.4763
222.821,3.4669
223.822,3.4578
224.821,3.4489
225.821,3.4392
226.821,3.4306
227.821,3.423
228.822,3.4136
229.821,3.4055
230.821,3.3961
231.821,3.3874
232.821,3.3794
233.821,3.3699
234.821,3.3606
235.821,3.352
236.822,3.3432
237.822,3.334
238.821,3.3235
239.821,3.3151
240.821,3.3057
241.822,3.2966
242.822,3.2884
243.822,3.2797
